CIVM_ID,Age_Months
220110_12:0,13.77
220207-1:0,20.37
220207-2:0,20.37
220207-3:0,20.37
220207-4:0,20.37
220207-9:0,20.13
220207-10:0,20.13
220207-11:0,20.13
220207-12:0,20.13
220207-13:0,20.13
220207-14:0,20.13
220207-15:0,20.13
220207-16:0,20.13
220207-17:0,20.13
220207-19:0,20.27
220207-20:0,20.27
220207-21:0,20.27
220207-22:0,19.47
220207-23:0,19.47
220207-24:0,20.03
220207-25:0,20.03
220307-1:0,20.83
220307-2:0,20.83
220307-4:0,20.83
220307-5:0,20.83
220307-6:0,19.43
220307-7:0,19.43
220307-8:0,19.43
220307-9:0,19.43
220307-10:0,19.47
220307-11:0,19.47
220307-12:0,19.47
220307-13:0,19.47
220307-14:0,21.33
220307-15:0,21.33
220307-16:0,21.33
220307-17:0,21.33
220404-1:0,14.8
220404-2:0,14.8
220404-3:0,14.8
220404-4:0,14.8
220404-5:0,12.26666667
220404-6:0,14.8
220404-7:0,14.8
220404-8:0,14.4
220404-9:0,14.4
220404-10:0,14.4
220404-11:0,21.23333333
220404-13:0,21.23333333
220509-1:0,20.23333333
220509-4:0,20.23333333
220509-6:0,20.23333333
220509-7:0,21.46666667
220509-8:0,20.36666667
220509-10:0,20.36666667
220509-11:0,19.53333333
220509-12:0,13.4
220509-13:0,13.16666667
220509-14:0,13.16666667
220606-1:0,19.4
220606-2:0,20.63333333
220606-3:0,20.63333333
220606-4:0,20.63333333
220606-5:0,20.6
220606-6:0,20.6
220606-15:0,20.6
220606-16:0,20.6
220606-17:0,20.6
220606-18:0,20.6
220606-19:0,14.27
220606-20:0,14.27
220606-21:0,14.27
220606-22:0,14.27
220704-2:0,20.2
220704-4:0,20.2
220704-5:0,20.2
220704-11:0,21.23333333
220704-7:0,21.23333333
220704-8:0,21.13333333
220704-1:0,21.16
220704-10:0,20.96
220704-14:0,20.96
220704-15:0,20.96
220704-16:0,20.96
220704-17:0,20.3
220704-18:0,20.3
220704-19:0,20.3
220808-18:0,15.26666667
220808-19:0,15.26666667
220808-20:0,15.26666667
220808-21:0,15.26666667
220808-22:0,15.26666667
220808-6:0,21.5
220808-7:0,21.5
220808-8:0,21.5
220808-9:0,19.3
220808-10:0,19.1
220808-11:0,19.1
220808-12:0,19.1
220808-13:0,20.4
220808-14:0,20.4
220808-15:0,20.4
220808-16:0,20.4
220808-17:0,20.4
220905-7:0,20.2
220905-8:0,20.2
220905-9:0,20.2
220905-10:0,20.4
220905-11:0,20.4
220905-12:0,20.4
,2/28/2021
,3/6/2021
,3/6/2021
,9/27/2016
,9/27/2016
,9/27/2016
,9/27/2016
,9/27/2016
,9/12/2016
,9/12/2016
,9/12/2016
,9/12/2016
,9/6/2016
