"","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.1","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.estimate","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.SE","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.df","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.t.ratio","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.p.value","fdr_adjusted_pvals"
"51","E4HN Female Old Control - E4HN Female Young Control",0.404999999999965,3.54565200327523,184,0.114224407704381,1,1
"52","E4HN Female Old Control - E2HN Male Young Control",2.52788034188034,3.26152547380499,184,0.77506073835175,0.99999998713544,1
"53","E4HN Female Old Control - E3HN Male Young Control",0.911188034188006,3.261525473805,184,0.279374802222527,1,1
"54","E4HN Female Old Control - E4HN Male Young Control",2.62186111111111,4.51983718827744,184,0.580078662548093,0.999999999970448,1
"55","E4HN Female Old Control - E2HN Female Old HFD",0.178861111111141,4.51983718827744,184,0.0395724676930912,1,1
"56","E4HN Female Old Control - E3HN Female Old HFD",4.9364861111111,3.65477443029665,184,1.35069515376642,0.999647876793123,1
"57","E4HN Female Old Control - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"58","E4HN Female Old Control - E2HN Male Old HFD",2.2708611111111,4.51983718827743,184,0.502420998039657,0.999999999998891,1
"59","E4HN Female Old Control - E3HN Male Old HFD",13.2762777777778,3.96415945194085,184,3.34907763896271,0.134903098961429,1
"60","E4HN Female Old Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"61","E4HN Female Old Control - E2HN Female Young HFD",-4.57288888888892,3.26152547380499,184,-1.40207057268636,0.999370792515556,1
"62","E4HN Female Old Control - E3HN Female Young HFD",1.30961111111109,3.31665375224614,184,0.394859158941202,1,1
"63","E4HN Female Old Control - E4HN Female Young HFD",7.84505228758169,3.1005827314563,184,2.53018640915186,0.651729039192774,1
"64","E4HN Female Old Control - E2HN Male Young HFD",0.598311111111119,3.45587408941835,184,0.173128735489266,1,1
"65","E4HN Female Old Control - E3HN Male Young HFD",0.741611111111103,3.45587408941835,184,0.214594366554576,1,1
"66","E4HN Female Old Control - E4HN Male Young HFD",5.74775396825396,3.21352002678628,184,1.78861619667641,0.982732874410651,1
"67","E2HN Male Old Control - E3HN Male Old Control",0.826422222222232,3.45587408941835,184,0.239135512706519,1,1
"68","E2HN Male Old Control - E4HN Male Old Control",-5.05444444444447,5.01430915048717,184,-1.0080041522676,0.999997794591492,1
"69","E2HN Male Old Control - E2HN Female Young Control",-16.6805777777778,3.45587408941836,184,-4.82673191967628,0.000709667554352311,0.0302104489914627
"70","E2HN Male Old Control - E3HN Female Young Control",-11.0175050505051,3.38064653960663,184,-3.25899348583987,0.169872975016189,1
"71","E2HN Male Old Control - E4HN Female Young Control",-9.39188888888892,3.54565200327524,184,-2.64884677915749,0.560208863190191,1
"72","E2HN Male Old Control - E2HN Male Young Control",-7.26900854700855,3.261525473805,184,-2.22871432567053,0.850339618365292,1
"73","E2HN Male Old Control - E3HN Male Young Control",-8.88570085470088,3.26152547380499,184,-2.72440026179975,0.501611042926435,1
"74","E2HN Male Old Control - E4HN Male Young Control",-7.17502777777777,4.51983718827743,184,-1.58745270656801,0.996199847521757,1
"75","E2HN Male Old Control - E2HN Female Old HFD",-9.61802777777774,4.51983718827744,184,-2.12795890142302,0.897846874446379,1
"76","E2HN Male Old Control - E3HN Female Old HFD",-4.86040277777778,3.65477443029665,184,-1.3298776355353,0.999724820709213,1
"77","E2HN Male Old Control - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"78","E2HN Male Old Control - E2HN Male Old HFD",-7.52602777777778,4.51983718827743,184,-1.66511037107645,0.992845597037339,1
"79","E2HN Male Old Control - E3HN Male Old HFD",3.4793888888889,3.96415945194085,184,0.877711638765032,0.999999844998672,1
"80","E2HN Male Old Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"81","E2HN Male Old Control - E2HN Female Young HFD",-14.3697777777778,3.26152547380499,184,-4.40584563670864,0.00401238825577732,0.11585771088557
"82","E2HN Male Old Control - E3HN Female Young HFD",-8.48727777777779,3.31665375224614,184,-2.55898818863137,0.629792357329747,1
"83","E2HN Male Old Control - E4HN Female Young HFD",-1.9518366013072,3.1005827314563,184,-0.629506376819188,0.999999999830393,1
"84","E2HN Male Old Control - E2HN Male Young HFD",-9.19857777777777,3.45587408941835,184,-2.66172248750126,0.550186876770953,1
"85","E2HN Male Old Control - E3HN Male Young HFD",-9.05527777777778,3.45587408941834,184,-2.62025685643596,0.582453492752076,1
"86","E2HN Male Old Control - E4HN Male Young HFD",-4.04913492063493,3.21352002678628,184,-1.26003102108697,0.999885666803487,1
