"","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.1","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.estimate","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.SE","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.df","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.t.ratio","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.p.value","fdr_adjusted_pvals"
"192","E3HN Male Young Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"193","E3HN Male Young Control - E2HN Female Young HFD",-5.48407692307693,2.95016079294471,184,-1.85890780468375,0.973193375410023,1
"194","E3HN Male Young Control - E3HN Female Young HFD",0.398423076923088,3.01099525078299,184,0.132322718483027,1,1
"195","E3HN Male Young Control - E4HN Female Young HFD",6.93386425339368,2.77119352672351,184,2.50212198698077,0.672810874318488,1
"196","E3HN Male Young Control - E2HN Male Young HFD",-0.312876923076887,3.16369499317846,184,-0.0988960452102715,1,1
"197","E3HN Male Young Control - E3HN Male Young HFD",-0.169576923076903,3.16369499317846,184,-0.0536009076230622,1,1
"198","E3HN Male Young Control - E4HN Male Young HFD",4.83656593406595,2.89700038842003,184,1.66950821042303,0.992598719003727,1
"199","E4HN Male Young Control - E2HN Female Old HFD",-2.44299999999997,5.31847800491285,184,-0.459341939130573,1,1
"200","E4HN Male Young Control - E3HN Female Old HFD",2.31462499999999,4.6059370617233,184,0.502530748679832,0.999999999998886,1
"201","E4HN Male Young Control - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"202","E4HN Male Young Control - E2HN Male Old HFD",-0.351000000000006,5.31847800491284,184,-0.065996324451427,1,1
"203","E4HN Male Young Control - E3HN Male Old HFD",10.6544166666667,4.85508395814306,184,2.19448659560188,0.8677095623469,1
"204","E4HN Male Young Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"205","E4HN Male Young Control - E2HN Female Young HFD",-7.19475000000003,4.30056141642982,184,-1.67297924696838,0.992398925709367,1
